x,yPrime
-16.57,1.89815e-118
-16.56,2.64211e-118
-16.55,3.67692e-118
-16.54,5.11598e-118
-16.53,7.11685e-118
-16.52,9.89827e-118
-16.51,1.3764e-117
-16.5,1.91356e-117
-16.49,2.65982e-117
-16.48,3.69637e-117
-16.47,5.13584e-117
-16.46,7.13446e-117
-16.45,9.90885e-117
-16.44,1.37594e-116
-16.43,1.91024e-116
-16.42,2.65148e-116
-16.41,3.67962e-116
-16.4,5.1054e-116
-16.39,7.08223e-116
-16.38,9.82253e-116
-16.37,1.36204e-115
-16.36,1.88829e-115
-16.35,2.61735e-115
-16.34,3.62716e-115
-16.33,5.02556e-115
-16.32,6.9617e-115
-16.31,9.64183e-115
-16.3,1.33511e-114
-16.29,1.84836e-114
-16.28,2.55841e-114
-16.27,3.54051e-114
-16.26,4.89863e-114
-16.25,6.77636e-114
-16.24,9.37199e-114
-16.23,1.29592e-113
-16.22,1.7916e-113
-16.21,2.47636e-113
-16.2,3.42217e-113
-16.19,4.72826e-113
-16.18,6.53151e-113
-16.17,9.02069e-113
-16.16,1.2456e-112
-16.15,1.71961e-112
-16.14,2.37353e-112
-16.13,3.27546e-112
-16.12,4.51922e-112
-16.11,6.234e-112
-16.1,8.59772e-112
-16.09,1.18553e-111
-16.08,1.63439e-111
-16.07,2.25274e-111
-16.06,3.10441e-111
-16.05,4.27721e-111
-16.04,5.8919e-111
-16.03,8.11452e-111
-16.02,1.11733e-110
-16.01,1.53821e-110
-16,2.1172e-110
-15.99,2.91355e-110
-15.98,4.00861e-110
-15.97,5.51416e-110
-15.96,7.58364e-110
-15.95,1.04277e-109
-15.94,1.43355e-109
-15.93,1.97038e-109
-15.92,2.7077e-109
-15.91,3.72017e-109
-15.9,5.11021e-109
-15.89,7.01824e-109
-15.88,9.63674e-109
-15.87,1.32295e-108
-15.86,1.81582e-108
-15.85,2.4918e-108
-15.84,3.41875e-108
-15.83,4.68959e-108
-15.82,6.43153e-108
-15.81,8.81875e-108
-15.8,1.20896e-107
-15.79,1.65703e-107
-15.78,2.27072e-107
-15.77,3.11105e-107
-15.76,4.26153e-107
-15.75,5.83627e-107
-15.74,7.99133e-107
-15.73,1.094e-106
-15.72,1.49736e-106
-15.71,2.04903e-106
-15.7,2.80339e-106
-15.69,3.8347e-106
-15.68,5.24436e-106
-15.67,7.17078e-106
-15.66,9.80288e-106
-15.65,1.33984e-105
-15.64,1.83091e-105
-15.63,2.50146e-105
-15.62,3.4169e-105
-15.61,4.66643e-105
-15.6,6.37161e-105
-15.59,8.69816e-105
-15.58,1.18718e-104
-15.57,1.62003e-104
-15.56,2.21024e-104
-15.55,3.01487e-104
-15.54,4.11161e-104
-15.53,5.60619e-104
-15.52,7.64251e-104
-15.51,1.04164e-103
-15.5,1.41942e-103
-15.49,1.93384e-103
-15.48,2.63415e-103
-15.47,3.58735e-103
-15.46,4.8845e-103
-15.45,6.64936e-103
-15.44,9.05008e-103
-15.43,1.23151e-102
-15.42,1.67547e-102
-15.41,2.27901e-102
-15.4,3.09936e-102
-15.39,4.21414e-102
-15.38,5.72873e-102
-15.37,7.78613e-102
-15.36,1.05803e-101
-15.35,1.43743e-101
-15.34,1.95249e-101
-15.33,2.65157e-101
-15.32,3.60024e-101
-15.31,4.88734e-101
-15.3,6.63325e-101
-15.29,9.00104e-101
-15.28,1.22116e-100
-15.27,1.6564e-100
-15.26,2.24632e-100
-15.25,3.04572e-100
-15.24,4.12877e-100
-15.23,5.59584e-100
-15.22,7.58268e-100
-15.21,1.02729e-99
-15.2,1.39148e-99
-15.19,1.8844e-99
-15.18,2.55142e-99
-15.17,3.45386e-99
-15.16,4.67454e-99
-15.15,6.32539e-99
-15.14,8.55753e-99
-15.13,1.1575e-98
-15.12,1.56534e-98
-15.11,2.11646e-98
-15.1,2.86103e-98
-15.09,3.86677e-98
-15.08,5.225e-98
-15.07,7.05892e-98
-15.06,9.53461e-98
-15.05,1.2876e-97
-15.04,1.73849e-97
-15.03,2.34679e-97
-15.02,3.16731e-97
-15.01,4.27386e-97
-15,5.76584e-97
-14.99,7.77711e-97
-14.98,1.04878e-96
-14.97,1.41406e-96
-14.96,1.90617e-96
-14.95,2.56903e-96
-14.94,3.46169e-96
-14.93,4.6636e-96
-14.92,6.28156e-96
-14.91,8.45915e-96
-14.9,1.13893e-95
-14.89,1.53314e-95
-14.88,2.06339e-95
-14.87,2.77646e-95
-14.86,3.73521e-95
-14.85,5.02402e-95
-14.84,6.75618e-95
-14.83,9.08371e-95
-14.82,1.22107e-94
-14.81,1.64107e-94
-14.8,2.2051e-94
-14.79,2.96239e-94
-14.78,3.97896e-94
-14.77,5.3433e-94
-14.76,7.17402e-94
-14.75,9.63006e-94
-14.74,1.29243e-93
-14.73,1.7342e-93
-14.72,2.32651e-93
-14.71,3.12048e-93
-14.7,4.18459e-93
-14.69,5.61043e-93
-14.68,7.52061e-93
-14.67,1.00791e-92
-14.66,1.35053e-92
-14.65,1.80926e-92
-14.64,2.42331e-92
-14.63,3.24511e-92
-14.62,4.34474e-92
-14.61,5.81582e-92
-14.6,7.78343e-92
-14.59,1.04146e-91
-14.58,1.39325e-91
-14.57,1.8635e-91
-14.56,2.49196e-91
-14.55,3.3317e-91
-14.54,4.45352e-91
-14.53,5.95187e-91
-14.52,7.95275e-91
-14.51,1.06241e-90
-14.5,1.419e-90
-14.49,1.8949e-90
-14.48,2.52989e-90
-14.47,3.37698e-90
-14.46,4.50682e-90
-14.45,6.01346e-90
-14.44,8.02216e-90
-14.43,1.06997e-89
-14.42,1.4268e-89
-14.41,1.90226e-89
-14.4,2.53565e-89
-14.39,3.37925e-89
-14.38,4.50262e-89
-14.37,5.99822e-89
-14.36,7.98901e-89
-14.35,1.06384e-88
-14.34,1.41636e-88
-14.33,1.88531e-88
-14.32,2.50902e-88
-14.31,3.33841e-88
-14.3,4.44107e-88
-14.29,5.90675e-88
-14.28,7.85457e-88
-14.27,1.04426e-87
-14.26,1.38806e-87
-14.25,1.84468e-87
-14.24,2.45102e-87
-14.23,3.25601e-87
-14.22,4.32451e-87
-14.21,5.74251e-87
-14.2,7.62393e-87
-14.19,1.01197e-86
-14.18,1.34299e-86
-14.17,1.78192e-86
-14.16,2.36384e-86
-14.15,3.13516e-86
-14.14,4.15733e-86
-14.13,5.51166e-86
-14.12,7.30572e-86
-14.11,9.68181e-86
-14.1,1.28281e-85
-14.09,1.69935e-85
-14.08,2.25069e-85
-14.07,2.9803e-85
-14.06,3.94565e-85
-14.05,5.22264e-85
-14.04,6.91153e-85
-14.03,9.14473e-85
-14.02,1.20971e-84
-14.01,1.59994e-84
-14,2.11563e-84
-13.99,2.79697e-84
-13.98,3.697e-84
-13.97,4.88567e-84
-13.96,6.45523e-84
-13.95,8.52731e-84
-13.94,1.12623e-83
-13.93,1.48714e-83
-13.92,1.96332e-83
-13.91,2.59145e-83
-13.9,3.41986e-83
-13.89,4.51217e-83
-13.88,5.95219e-83
-13.87,7.85019e-83
-13.86,1.03513e-82
-13.85,1.36467e-82
-13.84,1.79874e-82
-13.83,2.37041e-82
-13.82,3.12315e-82
-13.81,4.11409e-82
-13.8,5.41836e-82
-13.79,7.13469e-82
-13.78,9.3928e-82
-13.77,1.23631e-81
-13.76,1.62695e-81
-13.75,2.14058e-81
-13.74,2.81581e-81
-13.73,3.70329e-81
-13.72,4.86951e-81
-13.71,6.40171e-81
-13.7,8.41432e-81
-13.69,1.10575e-80
-13.68,1.4528e-80
-13.67,1.90839e-80
-13.66,2.50635e-80
-13.65,3.29101e-80
-13.64,4.32046e-80
-13.63,5.67079e-80
-13.62,7.44166e-80
-13.61,9.76358e-80
-13.6,1.28074e-79
-13.59,1.67968e-79
-13.58,2.20244e-79
-13.57,2.88733e-79
-13.56,3.78442e-79
-13.55,4.95926e-79
-13.54,6.4975e-79
-13.53,8.51117e-79
-13.52,1.11467e-78
-13.51,1.45953e-78
-13.5,1.91071e-78
-13.49,2.50086e-78
-13.48,3.27262e-78
-13.47,4.2817e-78
-13.46,5.60078e-78
-13.45,7.32478e-78
-13.44,9.57753e-78
-13.43,1.25206e-77
-13.42,1.63648e-77
-13.41,2.13849e-77
-13.4,2.79394e-77
-13.39,3.64956e-77
-13.38,4.76625e-77
-13.37,6.22338e-77
-13.36,8.12434e-77
-13.35,1.06038e-76
-13.34,1.38373e-76
-13.33,1.80531e-76
-13.32,2.35486e-76
-13.31,3.07108e-76
-13.3,4.00434e-76
-13.29,5.22015e-76
-13.28,6.80375e-76
-13.27,8.86597e-76
-13.26,1.15509e-75
-13.25,1.5046e-75
-13.24,1.95947e-75
-13.23,2.55133e-75
-13.22,3.32131e-75
-13.21,4.3228e-75
-13.2,5.62514e-75
-13.19,7.31837e-75
-13.18,9.51938e-75
-13.17,1.23799e-74
-13.16,1.60966e-74
-13.15,2.09251e-74
-13.14,2.71966e-74
-13.13,3.53405e-74
-13.12,4.59139e-74
-13.11,5.96387e-74
-13.1,7.74507e-74
-13.09,1.00562e-73
-13.08,1.30544e-73
-13.07,1.69431e-73
-13.06,2.19858e-73
-13.05,2.85236e-73
-13.04,3.69981e-73
-13.03,4.79807e-73
-13.02,6.22109e-73
-13.01,8.06454e-73
-13,1.04522e-72
-12.99,1.35439e-72
-12.98,1.75467e-72
-12.97,2.2728e-72
-12.96,2.94333e-72
-12.95,3.81092e-72
-12.94,4.93325e-72
-12.93,6.38482e-72
-12.92,8.26187e-72
-12.91,1.06886e-71
-12.9,1.38253e-71
-12.89,1.7879e-71
-12.88,2.31166e-71
-12.87,2.98825e-71
-12.86,3.8621e-71
-12.85,4.99048e-71
-12.84,6.44725e-71
-12.83,8.3276e-71
-12.82,1.07542e-70
-12.81,1.38851e-70
-12.8,1.79239e-70
-12.79,2.31328e-70
-12.78,2.98496e-70
-12.77,3.85088e-70
-12.76,4.96701e-70
-12.75,6.40536e-70
-12.74,8.25856e-70
-12.73,1.06458e-69
-12.72,1.37203e-69
-12.71,1.76793e-69
-12.7,2.2776e-69
-12.69,2.93361e-69
-12.68,3.77781e-69
-12.67,4.86397e-69
-12.66,6.26116e-69
-12.65,8.05808e-69
-12.64,1.03686e-68
-12.63,1.3339e-68
-12.62,1.71569e-68
-12.61,2.20631e-68
-12.6,2.83667e-68
-12.59,3.64639e-68
-12.58,4.68629e-68
-12.57,6.02156e-68
-12.56,7.73574e-68
-12.55,9.9359e-68
-12.54,1.27593e-67
-12.53,1.63816e-67
